,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
11,0.06442840894063313,0.0017441690833105187,0.013949950536092123,0.00015915534977553795,30,30,"{'max_depth': 30, 'n_estimators': 30}",0.6134453781512605,0.6386554621848739,0.6554621848739496,0.6358543417366946,0.017267266114759018,1,0.9957983193277311,0.9943977591036415,0.9971988795518207,0.9957983193277311,0.0011435526343525535
5,0.08816639582316081,0.032921450431405194,0.016467968622843426,0.003975184770928966,10,30,"{'max_depth': 10, 'n_estimators': 30}",0.5938375350140056,0.6358543417366946,0.6694677871148459,0.6330532212885154,0.030939386602765417,2,0.9397759103641457,0.9313725490196079,0.9243697478991597,0.9318394024276376,0.006298196808231556
8,0.06677405039469402,0.004825610277070664,0.01411279042561849,0.00039350316978569973,20,30,"{'max_depth': 20, 'n_estimators': 30}",0.6078431372549019,0.6414565826330533,0.6470588235294118,0.6321195144724556,0.01731768159756438,3,0.9971988795518207,0.9929971988795518,0.9943977591036415,0.9948646125116714,0.001746805502695578
10,0.06648548444112141,0.03110898088361445,0.01588718096415202,0.005080495593103762,30,20,"{'max_depth': 30, 'n_estimators': 20}",0.6134453781512605,0.6498599439775911,0.6246498599439776,0.6293183940242764,0.01522829732054163,4,0.988795518207283,0.9901960784313726,0.9957983193277311,0.9915966386554622,0.0030255558816096348
6,0.02566043535868327,0.0008540084798240559,0.00920852025349935,0.00025198203349221154,20,10,"{'max_depth': 20, 'n_estimators': 10}",0.5882352941176471,0.6246498599439776,0.6610644257703081,0.6246498599439776,0.02973236849316648,5,0.9747899159663865,0.9733893557422969,0.9831932773109243,0.9771241830065359,0.004329420399391069
7,0.046480258305867515,0.0007200401699444652,0.012312650680541992,0.0015121060406057115,20,20,"{'max_depth': 20, 'n_estimators': 20}",0.5938375350140056,0.6246498599439776,0.6526610644257703,0.6237161531279178,0.02402367942160338,6,0.9929971988795518,0.9901960784313726,0.9873949579831933,0.9901960784313726,0.002287105268705107
4,0.03907481829325358,0.0008085017010173143,0.011407852172851562,0.001063900818958349,10,20,"{'max_depth': 10, 'n_estimators': 20}",0.5938375350140056,0.6246498599439776,0.6414565826330533,0.6199813258636788,0.019718685417313628,7,0.9187675070028011,0.9285714285714286,0.9089635854341737,0.9187675070028011,0.00800486844046792
1,0.038281520207722984,0.0008912647399862718,0.01036230723063151,0.00019607173764246873,6,20,"{'max_depth': 6, 'n_estimators': 20}",0.5742296918767507,0.6386554621848739,0.6442577030812325,0.6190476190476191,0.031773481843461376,8,0.7366946778711485,0.7296918767507002,0.7352941176470589,0.7338935574229692,0.003025555881609686
3,0.021471182505289715,0.0012267082113765731,0.008516788482666016,0.00040961593242256884,10,10,"{'max_depth': 10, 'n_estimators': 10}",0.6050420168067226,0.6162464985994398,0.6218487394957983,0.6143790849673203,0.0069872220107823615,9,0.9005602240896359,0.8991596638655462,0.8977591036414566,0.8991596638655462,0.0011435526343525535
9,0.02542002995808919,0.0009484110539561729,0.009554862976074219,0.0007426308450536229,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.5742296918767507,0.6274509803921569,0.6414565826330533,0.6143790849673203,0.028959967169506707,9,0.9789915966386554,0.9775910364145658,0.9831932773109243,0.9799253034547152,0.0023804946375316372
0,0.07466506958007812,0.07344983316541386,0.00969854990641276,0.0009458314813907172,6,10,"{'max_depth': 6, 'n_estimators': 10}",0.5798319327731093,0.6022408963585434,0.6498599439775911,0.6106442577030813,0.02919980536155348,11,0.7408963585434174,0.7324929971988795,0.6946778711484594,0.7226890756302522,0.02010182086051447
2,0.056760311126708984,0.001962746350201267,0.012453635533650717,0.000674527843146683,6,30,"{'max_depth': 6, 'n_estimators': 30}",0.5630252100840336,0.6246498599439776,0.6358543417366946,0.6078431372549019,0.0320194737618716,12,0.7478991596638656,0.7184873949579832,0.7184873949579832,0.7282913165266107,0.013864838846795053
